"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"00826099999","2008-01-01","0.0","0.0","0.0","WXPOD8270","  36.5","24","  29.5","24","1022.5","16","999.9"," 0","  8.3","24","  9.0","24"," 20.0"," 30.9","  55.9"," ","  19.4","*"," 0.01","G","999.9","010000"
"00826099999","2008-01-02","0.0","0.0","0.0","WXPOD8270","  37.0","24","  31.8","20","1019.4","17","999.9"," 0","  8.0","24","  4.1","24"," 20.0"," 27.0","  54.0"," ","  24.8","*"," 0.17","G","999.9","001000"
"00826099999","2008-01-03","0.0","0.0","0.0","WXPOD8270","  11.9","24","   3.4","22","1027.2","16","999.9"," 0"," 13.3","24","  8.7","24"," 22.9"," 35.0","  25.0","*","   6.8","*"," 0.00","G","999.9","011000"
"00826099999","2008-01-04","0.0","0.0","0.0","WXPOD8270","  31.8","24","  21.0","10","1033.1","15","999.9"," 0","  9.9","24"," 10.7","24"," 26.0"," 39.0","  59.0"," ","   8.6","*"," 0.16","G","999.9","010000"
"00826099999","2008-01-05","0.0","0.0","0.0","WXPOD8270","  48.4","24","  40.3","18","1021.1"," 6","999.9"," 0","  8.5","24"," 10.4","24"," 19.0"," 30.9","  57.2","*","  33.8","*"," 2.88","G","999.9","010010"
"00826099999","2008-01-06","0.0","0.0","0.0","WXPOD8270","  48.8","24","  40.7","17","1012.7","13","999.9"," 0","  9.5","24","  9.6","24"," 21.0"," 28.9","  57.2","*","  33.8","*"," 0.41","G","999.9","010000"
"00826099999","2008-01-07","0.0","0.0","0.0","WXPOD8270","  46.5","24","  40.4","24","1016.2","14","999.9"," 0"," 10.1","24","  4.6","24"," 19.0"," 28.9","  62.6","*","  37.4","*"," 0.00","G","999.9","000000"
"00826099999","2008-01-08","0.0","0.0","0.0","WXPOD8270","  47.3","24","  39.7","20","1019.3","21","999.9"," 0","  8.5","24","  5.9","24"," 23.9"," 36.9","  64.4","*","  41.0"," "," 0.01","G","999.9","010010"
"00826099999","2008-01-09","0.0","0.0","0.0","WXPOD8270","  47.8","24","  44.8","24","1021.3","13","999.9"," 0","  6.7","24","  8.6","24"," 28.0"," 41.0","  57.2","*","  42.8","*"," 0.18","G","999.9","110000"
"00826099999","2008-01-10","0.0","0.0","0.0","WXPOD8270","  45.5","24","  43.3","24","1022.7"," 9","999.9"," 0","  5.5","24","  4.9","24"," 19.0"," 23.9","  54.0"," ","  35.1"," "," 0.03","G","999.9","010000"
